patient,series,view,dice_dense,dice_ensemble
DBT-P00023,19710_37,MLO,0.8408969187857626,0.9125727546339477
DBT-P00029,231_37,MLO,0.5989426202791128,0.8972589591218095
DBT-P00052,2861_38,CC,0.8661654655701405,0.8661655835737552
DBT-P00064,20258_37,CC,0.865054910290428,0.8667519831939118
DBT-P00109,3591_38,CC,0.9467989233213048,0.9470944830758846
DBT-P00113,21887_36,MLO,0.7431979783512345,0.9448917870848639
DBT-P00120,899_38,CC,0.9373878364966229,0.937757253895595
DBT-P00122,3940_44,MLO,0.29336976874252885,0.41294863984873564
DBT-P00128,22027_40,CC,0.26567487607363593,0.26721667546516864
DBT-P00130,21224_43,MLO,0.04545892269968426,0.11634804625303438
DBT-P00141,21412_37,CC,0.9189011118330886,0.9189011118330886
DBT-P00143,5824_45,MLO,0.4172309649178674,0.5923801100842859
DBT-P00156,14574_41,CC,0.9378577069048641,0.9440759581995996
DBT-P00161,3916_43,MLO,0.385717671030182,0.7283697507618168
DBT-P00209,7105_42,CC,0.6270501779067241,0.6270501779067241
DBT-P00230,1531_38,CC,0.8983150677486866,0.8983150677486866
DBT-P00315,13690_43,MLO,0.48121323300662694,0.8458940386337961
DBT-P00395,5409_39,MLO,0.7880548276236544,0.9046727358273571
DBT-P00411,5520_39,CC,0.7798626068075831,0.7798626068075831
DBT-P00428,3117_44,CC,0.7866121229519057,0.7866121229519057
DBT-P00429,4895_43,CC,0.34791435726324244,0.3489668848442287
DBT-P00465,20310_42,MLO,0.41714704086939774,0.800839417450392
DBT-P00488,1563_37,CC,0.9251722023133879,0.9251722023133879
DBT-P00499,10436_50,MLO,0.9037772627678481,0.9015368684823487
DBT-P00502,15592_50,CC,0.8394632428616066,0.8394633748038266
DBT-P00514,21384_44,CC,0.16125958434431084,0.21511083435180783
DBT-P00520,15492_39,CC,0.9466574842007209,0.9466574842007209
DBT-P00531,9846_45,MLO,0.3859625832682774,0.6760880152107915
DBT-P00538,14156_39,MLO,0.7413613733318475,0.9182158287183053
DBT-P00562,18541_38,MLO,0.39356518871140816,0.7816882569720965
DBT-P00595,7817_45,MLO,0.29256789391366167,0.7133797140497192
DBT-P00617,9698_45,CC,0.0326772545781199,0.05263923405069327
DBT-P00624,13915_38,CC,0.8474698996156619,0.8474700534086064
DBT-P00642,16362_42,CC,0.29365530478220786,0.3947631531381343
DBT-P00644,13543_48,MLO,0.75501062048609,0.927316409845139
DBT-P00681,21814_39,MLO,0.41085335191658034,0.7558272032805982
DBT-P00688,14532_46,MLO,0.42366505377746366,0.502279245730359
DBT-P00722,18877_35,CC,0.9083063491104472,0.9083063491104472
DBT-P00732,4285_41,CC,0.5212723847208716,0.521272392116782
DBT-P00737,3461_42,CC,0.3547071973459508,0.3547071973459508
DBT-P00751,5957_37,MLO,0.5740081730341968,0.8412858396431931
DBT-P00775,13019_48,CC,0.6810817187068735,0.6810872421902654
DBT-P00781,16480_38,MLO,0.5876081846300235,0.9006688304930694
DBT-P00795,21799_42,CC,0.918115940226328,0.9182069763919026
DBT-P00806,18575_46,MLO,0.2519765630958289,0.3250343190937556
DBT-P00833,14394_36,MLO,0.54825662860613,0.90528867115712
DBT-P00845,2235_32,MLO,0.7322297018697621,0.8480772787881307
DBT-P00853,20974_42,MLO,0.7765151504116402,0.8672736973894399
DBT-P00858,4665_42,CC,0.36886818247245345,0.3691511072155417
DBT-P00881,19089_40,MLO,0.11067344892128671,0.34603884271758545
DBT-P00887,7143_40,MLO,0.7736273647242529,0.9113779460179064
DBT-P00890,13333_39,CC,0.9430338763636654,0.9431021210095936
DBT-P00892,18699_44,CC,0.5815076352476027,0.5820589646492562
DBT-P00910,14692_39,MLO,0.4940254089084704,0.6230850848881673
DBT-P00930,14870_41,CC,0.8583366574015358,0.8585857262179213
DBT-P00942,16701_44,MLO,0.2945266750747658,0.5198170512507506
DBT-P00943,11910_41,CC,0.9298414638792555,0.9382522170233439
DBT-P00949,22007_42,CC,0.5025476319591524,0.5025478118768049
DBT-P00962,19499_39,CC,0.6535830249079241,0.6615419767573781
DBT-P00986,17441_42,MLO,0.5164521025370425,0.700486764263009
DBT-P00988,11351_37,CC,0.9226588551921358,0.9258199024646535
DBT-P00993,19458_33,CC,0.8659802012917381,0.8659803055835237
DBT-P01007,11235_44,MLO,0.3244203346024382,0.5074844649525689
DBT-P01021,19621_4,CC,0.7924300006268097,0.7924300006268097
DBT-P01027,1276_42,MLO,0.5850360421706079,0.6595836018647182
DBT-P01035,8561_44,CC,0.8498707778240016,0.8498708894268526
DBT-P01042,2676_42,MLO,0.48947810373496864,0.7631557582885274
DBT-P00023,19711_35,CC,0.9022847395938077,0.903035507863163
DBT-P00029,232_36,CC,0.9567605705037793,0.9576269558491165
DBT-P00052,2862_36,CC,0.9215912049566631,0.9215912049566631
DBT-P00064,20259_36,MLO,0.8094056826757352,0.8946622083898806
DBT-P00109,3592_37,CC,0.8993621745252216,0.8995808208802928
DBT-P00113,21888_36,CC,0.9203063721668178,0.92031469827724
DBT-P00120,900_45,MLO,0.6472355641251509,0.913734199336044
DBT-P00122,3941_41,CC,0.5561361108541768,0.5605179700620961
DBT-P00128,22028_47,CC,0.14166165580940632,0.18303383661709105
DBT-P00130,21225_41,MLO,0.016985429765497273,0.05581730137081368
DBT-P00141,21413_37,CC,0.9255549872617178,0.9255549872617178
DBT-P00143,5825_44,CC,0.7832907698207414,0.7833112445961248
DBT-P00156,14575_41,MLO,0.6919882613782457,0.8070184347910268
DBT-P00161,3917_42,CC,0.6916064834305711,0.6917362511281713
DBT-P00209,7106_46,MLO,0.522136667930268,0.8607564329641536
DBT-P00230,1532_45,MLO,0.8342699468854918,0.9055497718419975
DBT-P00315,13691_47,MLO,0.6265145609481334,0.8323216812399941
DBT-P00398,15595_41,CC,0.9050188939419953,0.9050188939419953
DBT-P00411,5521_39,MLO,0.5266472412047918,0.8013238456247425
DBT-P00428,3118_42,MLO,0.6972445643885944,0.9253104132014282
